,Star_name,Distance,Mass,Radius,,Star_name,Distance,Mass,Radius
183,2MASS J11145133−2618235,18.2,0.031501404,0.09865248,170,2MASSI J2057540-025230,47,70,1.02
184,TWA 26,137,0.02863764,0.2260786,207,WISE 0223-2932,47,,
185,2MASS J11544223-3400390 [de],129,0.035319756,0.1541445,231,WISE 0500-1223,47,,
186,2MASSW J1155395-372735 [de],31,0.061093632,0.102763,235,WISE 0535-7500,47,,
187,2MASS J12074836-3900043,217,0.016227996,0.17572473,312,WISE 1812+2721,47,,
188,2MASSI J1217110-031113 [de],36,0.040092696,0.09659722,253,WISE 0744+5628,47.3,,
189,2M 1237+6526,45.6,0.039138108,0.09659722,268,WISE 1039-1600,47.3,,
190,TWA 29,262,0.001909176,2.569075,195,WISE 0040+0900,47.6,,
191,SDSSp J125453.90-012247.4 [de],38,0.044865636,0.10070774,266,WISE 1018-2445,47.6,,
192,Kelu-1A,61,0.060139044,0.10070774,324,WISE 2018-7423,47.9,,
193,Kelu-1B,61,0.055366104,0.10070774,55,2MASS J04414489+2301513,470,19,
194,2MASS J13204427+0409045,101,0.063957396,0.10379063,46,2MASS J03510004-0052452,48,102,1.27
195,SDSSp J132629.82-003831.5 [de],65,0.048683988,0.09968011,131,SDSSp J134646.45-003150.4 [de],48,44,0.94
196,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659722,155,2MASS J16150413+1340079 [de],48,42,0.94
197,2MASS J13595510-4034582,51,0.060139044,0.102763,190,WISE 0015-4615,48.6,,
198,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865248,345,WISE 2343-7418,48.6,,
199,SDSS J141659.78+500626.4 [de],149,0.056320692,0.10173537,78,SDSS J074201.41+205520.5 [de],49,43,0.94
200,DENIS-P J142527.97-365023.4 [de],38,0.020046348,0.13564716,107,DENIS-P J1058.7−1548,49,64,1.00
201,LHS 2924,38.5,0.072548688,0.10892878,79,2MASS J0746425+200032 [fr],49.6,,
202,2MASS J14392837+1929150,47,0.068730336,0.10584589,50,SDSSp J042348.57-041403.5 [de],50,,
203,LSPM J1440+1339,72,0.087822096,0.12228797,92,2MASSI J0859254-194926 [de],50,50,0.98
204,2MASS J14482563+1031590 [de],47,0.056320692,0.10173537,158,2MASSW J1632291+190441 [de],50,49,0.97
205,CFBDSIR 1458+10A,104,0.010595927,0.1541445,242,WISE 0614+3912,50.2,,
206,CFBDSIR 1458+10B,104,0.008591292,0.1335919,296,WISE 1617+1807,50.2,,
207,TVLM 513-46546,35.1,0.0715941,0.10790115,298,WISE 1627+3255,50.2,,
208,2MASS 1503+2525,20.7,0.042001872,0.09659722,237,WISE 0542-1628,50.6,,
209,CFBDS J150411+102717,71,0.042001872,0.09659722,272,WISE 1124-0421,50.6,,
210,2MASSW J1506544+132106 [de],46,0.065866572,0.10481826,323,WISE 2015+6646,50.6,,
211,2MASS 1507−1627,23.9,0.05727528,0.10173537,290,WISE 1519+7009,50.9,,
212,TVLM 868-110639,53,0.075412452,0.11098404,18,SDSSp J010752.33+004156.1 [de],51,52,0.98
213,2MASSW J1515008+484742 [de],34,0.054411516,0.10173537,72,DENIS-P J0652197-253450 [de],51,75,1.05
214,2MASSI J1526140+204341 [de],67,0.051547752,0.10070774,132,2MASS J13595510-4034582,51,63,1.00
215,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763,151,DENIS-P J153941.96-052042.4 [de],51,63,1.00
216,2MASS J15462718-3325111 [de],37,0.042001872,0.09659722,218,WISE 0325-3854,51.2,,
217,2MASSW J1552591+294849 [de],68,0.02863764,0.14695109,344,WISE 2342+0856,51.2,,
218,2MASSW J1555157-095605 [de],44,0.067775748,0.10584589,243,WISE 0614+0951,51.5,,
219,2MASS J16150413+1340079 [de],48,0.040092696,0.09659722,254,WISE 0750+2725,51.5,,
220,SDSSp J162414.37+002915.6 [de],36,0.041047284,0.09659722,263,WISE 0906+4735,51.5,,
221,2MASS J16262034+3925190 [de],110,0.067775748,0.10584589,317,WISE 1906+4508,51.5,,
222,2MASSW J1632291+190441 [de],50,0.046774812,0.09968011,287,WISE 1457+5815,52.2,,
223,WISEPA J164715.59+563208.2,28,0.039138108,0.09659722,297,WISE 1622-0959,52.2,,
224,LSPM J1658+7027 [de],60,0.069684924,0.10687352,339,WISE 2319-1844,52.2,,
225,2MASSI J1726000+153819,114,0.022910112,0.1438682,30,LP 771-21,53,78,1.08
226,SDSSp J175032.96+175903.9,90,0.044865636,0.09968011,102,2MASSW J1036530-344138 [de],53,49,0.97
227,2MASS J18283572-4849046,39,0.04295646,0.09762485,147,TVLM 868-110639,53,79,1.08
228,LSR J1835+3259,18.5,0.073503276,0.10995641,269,WISE 1042-3842,53.2,,
229,2MASSW J1841086+311727,138,0.063957396,0.10379063,333,WISE 2237-0614,53.5,,
230,2MASS J18432213+4040209,46,0.091640448,0.12537086,209,WISE 0241-3653,53.8,,
231,2MASS J20004841-7523070,105,0.0238647,0.19319444,248,WISE 0656+4205,54.1,,
232,SDSS J204749.61-071818.3,65,0.043911048,0.09865248,347,WISE 2348-1028,54.1,,
233,2MASSI J2057540-025230,47,0.06682116,0.10481826,220,WISE 0333-5856,54.8,,
234,2MASSI J2104149-103736,62,0.065866572,0.10481826,348,WISE 2357+1227,54.8,,
235,PSO J318.5−22,80,0.006204822,0.15722739,80,DENIS-P J0751164-253043 [de],55,71,1.03
236,HB 2124-4228,113,0.089731272,0.12434323,87,LHS 2021,55,88,1.15
237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,98,2MASSI J1010148-040649 [de],55,51,0.98
238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,222,WISE 0336-0143,55.4,,
239,2MASSW J2206450-421721,93,0.021000936,0.13667479,277,WISE 1225-1013,55.4,,
